Type: 1, Category: IDENTIFIER, Value: bounces, Line: 1, Column: 1
Type: 1, Category: IDENTIFIER, Value: love, Line: 1, Column: 3
Type: 9, Category: BRACKET, Value: (, Line: 1, Column: 5
Type: 10, Category: INVALID, Value: 1, Line: 1, Column: 6
Type: 9, Category: BRACKET, Value: ), Line: 1, Column: 7
Type: 8, Category: DELIMITER, Value: ;, Line: 1, Column: 8
Type: 2, Category: KEYWORD, Value: if, Line: 2, Column: 1
Type: 1, Category: IDENTIFIER, Value: you, Line: 2, Column: 3
Type: 1, Category: IDENTIFIER, Value: are, Line: 2, Column: 5
Type: 8, Category: DELIMITER, Value: ;Àh’, Line: 2, Column: 6
Type: 2, Category: KEYWORD, Value: if, Line: 3, Column: 1
Type: 1, Category: IDENTIFIER, Value: exit, Line: 4, Column: 1
Type: 1, Category: IDENTIFIER, Value: while, Line: 5, Column: 1
Type: 1, Category: IDENTIFIER, Value: myVar, Line: 6, Column: 1
Type: 1, Category: IDENTIFIER, Value: x1, Line: 7, Column: 1
Type: 1, Category: IDENTIFIER, Value: x1, Line: 8, Column: 1
Type: 1, Category: IDENTIFIER, Value: myVar, Line: 8, Column: 2
Type: 1, Category: IDENTIFIER, Value: myVar, Line: 9, Column: 1
Type: 1, Category: IDENTIFIER, Value: myVar, Line: 9, Column: 2
Type: 1, Category: IDENTIFIER, Value: return, Line: 10, Column: 1
Type: 10, Category: INVALID, Value: 1invalid, Line: 11, Column: 1
Type: 1, Category: IDENTIFIER, Value: no_space, Line: 12, Column: 1
Type: 1, Category: IDENTIFIER, Value: supposed, Line: 12, Column: 3
